ti_id,titel,vols,jaar,druk,ppn_o,bibliotheek,categorie,_jaar,pers_id,voornaam,voorvoegsel,achternaam,jaar_geboren,jaar_overlijden,geb_datum,overl_datum,geb_plaats,overl_plaats,geb_plaats_code,geb_land_code,overl_plaats_code,overl_land_code,vrouw,url,text_url,maand,genre,Unnamed: 28,jaar_numeric
alph009hond02,Hondert geestelyke liederen,,1748,2de druk,393474453,amste001meer01,3,1748,alph009,Hieronymus,van,Alphen,1700,1758,9 mei,22 april,Amsterdam,Gouda,amste001,,gouda001,,0,https://dbnl.org/tekst/alph009hond02_01,https://dbnl.org/nieuws/text.php?id=alph009hond02,2010_09   ,poëzie,,1748.0
ampz001besc01,Beschryvinge ende lof der stad Haerlem in Holland,,1628,1ste druk,,utrec001univ01,1,1628,ampz001,Samuel,,Ampzing,1590,1632,24 juni (gedoopt),29 juli,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/ampz001besc01_01,https://dbnl.org/nieuws/text.php?id=ampz001besc01,2020_11   ,poëzie,,1628.0
ampz001hoog01,Het Hoog-lied van den heyligen ende wijsen koning ende propheet Salomon,,1629,1ste druk,393474496,denha004koni01,1,1629,ampz001,Samuel,,Ampzing,1590,1632,24 juni (gedoopt),29 juli,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/ampz001hoog01_01,https://dbnl.org/nieuws/text.php?id=ampz001hoog01,2013_03   ,poëzie,,1629.0
ampz001klae01,Klaeglieden van den H. Propheet Ieremias,,1629,1ste druk,377532568,denha004koni01,1,1629,ampz001,Samuel,,Ampzing,1590,1632,24 juni (gedoopt),29 juli,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/ampz001klae01_01,https://dbnl.org/nieuws/text.php?id=ampz001klae01,2013_10   ,poëzie,,1629.0
ampz001nasz01,Naszousche lauren-kranze,,1629,1ste druk,394964322,denha004koni01,1,1629,ampz001,Samuel,,Ampzing,1590,1632,24 juni (gedoopt),29 juli,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/ampz001nasz01_01,https://dbnl.org/nieuws/text.php?id=ampz001nasz01,2014_02   ,poëzie,,1629.0
ampz001orat01,Oratio habita a Guilhelmo Nieweunhuysio,,1628,1ste druk,,,1,1628,ampz001,Samuel,,Ampzing,1590,1632,24 juni (gedoopt),29 juli,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/ampz001orat01_01,,,poëzie,,1628.0
ampz001rijm01,Rym-catechismus dat is de Christelijcke Catechismus,,1624,1ste druk,393486028,denha004koni01,1,1624,ampz001,Samuel,,Ampzing,1590,1632,24 juni (gedoopt),29 juli,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/ampz001rijm01_01,https://dbnl.org/nieuws/text.php?id=ampz001rijm01,2014_04   ,poëzie,,1624.0
ampz001west01,Westindische triumphbazuin op de verovering van de zilveren vloot,,1629,1ste druk,394975111,Oxford Bodleian Library,1,1629,ampz001,Samuel,,Ampzing,1590,1632,24 juni (gedoopt),29 juli,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/ampz001west01_01,https://dbnl.org/nieuws/text.php?id=ampz001west01,2012_11   ,poëzie,,1629.0
ansl001afsc01,Afscheit van Amsterdam,,1649,1ste druk,,,1,1649,ansl001,Reyer,,Anslo,1626,1669,,16 mei,Amsterdam,Perugia,amste001,,,itali01,0,https://dbnl.org/tekst/ansl001afsc01_01,,,poëzie,,1649.0
anto001ystr01,De Ystroom,,1671,1ste druk,398528535,denha004koni01,1,1671,anto001,Joannis,,Antonides van der Goes,1647,1684,3 mei,18 september,Goes,Rotterdam,goes_001,,rotte002,,0,https://dbnl.org/tekst/anto001ystr01_01,https://dbnl.org/nieuws/text.php?id=anto001ystr01,2015_06   ,poëzie,,1671.0
antw003ghee01,De Gheestelijcke tortel-duyve,,1648,1ste druk,,denha004koni01,1,1648,antw003,Gabriël,van,Antwerpen,ca. 1593,1656,,29 januari,Antwerpen,Maastricht,antwe001,,maast001,,0,https://dbnl.org/tekst/antw003ghee01_01,,,poëzie,,1648.0
baer013uytm01,De uyt-muntende Dorimena,,1652,1ste druk,393339998,leide001univ01,1,1652,baer013,Michiel,van,Baerland,1630,?(17de eeuw),26 juli (gedoopt),,Goes,Goes,goes_001,,goes_001,,0,https://dbnl.org/tekst/baer013uytm01_01,,,poëzie,,1652.0
bara001godt02,De godtvruchtige verklikker,,1657,?,394969715,amste001univ01,3,1657,bara001,Jan,,Bara,1627,ca. 1706,,,,,,,,,0,https://dbnl.org/tekst/bara001godt02_01,,,poëzie,,1657.0
bara001kluc02,Klucht van Ik ken je niet,,1706,?,,amste001univ01,3,1706,bara001,Jan,,Bara,1627,ca. 1706,,,,,,,,,0,https://dbnl.org/tekst/bara001kluc02_01,,,poëzie,,1706.0
barl001poem01,Poemata,,1628,1ste druk,,amste001univ01,1,1628,barl001,C.,,Barlaeus,1584,1648,12 februari,14 januari,Antwerpen,Amsterdam,antwe001,,amste001,,0,https://dbnl.org/tekst/barl001poem01_01,https://dbnl.org/nieuws/text.php?id=barl001poem01,2024_06   ,poëzie,,1628.0
baro004leyt01,"Leyts-prieeltje, ofte Cupidoos sinlickheyt",,1651,1ste druk,397070098,haarl001stad01,1,1651,baro004,J.Z.,,Baron,?(17de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/baro004leyt01_01,https://dbnl.org/nieuws/text.php?id=baro004leyt01,2012_03   ,poëzie,,1651.0
bata003nieu01,Nieu liedt-boecxken inhoudende verscheyden liedekens op die principale feest-daghen ende ander heylighe daghen vanden jaere,,1614,1ste druk,393211177,denha004koni01,1,1614,bata003,Rumoldus,,Batavus,?(16de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/bata003nieu01_01,https://dbnl.org/nieuws/text.php?id=bata003nieu01,2013_07   ,poëzie,,1614.0
beek018heil01,"Heil-wensch aan d'eerzame Johannes Deknatel, op zyn ed. eerste predicatie, als proponent der doops-gezinden",,1721,1ste druk,393211215,denha004koni01,1,1721,beek018,D.,van,Beek,?,?(18de eeuw),,,,,,,,,0,https://dbnl.org/tekst/beek018heil01_01,https://dbnl.org/nieuws/text.php?id=beek018heil01,,poëzie,,1721.0
beer014ghee01,Gheestelycke rym-konst,,1653,1ste druk,39321124X,denha004koni01,1,1653,beer014,Peter,de,Beer,?(17de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/beer014ghee01_01,https://dbnl.org/nieuws/text.php?id=beer014ghee01,2010_06   ,poëzie,,1653.0
beet004lied01,"Liedtboeck van verscheide stoffen, Achter de welke eenige brieven van Hoogerbeets",,1668,1ste druk,,0             ,3,1668,beet004,Johan,,Beets,1606,1668,,,Hoorn,Hoorn,hoorn003,,hoorn003,,0,https://dbnl.org/tekst/beet004lied01_01,,,poëzie,,1668.0
bekk001derd01,"Ter derde echt van den heer Regnerus de Lover, Medic: Doctor, met mejuffrow Geertruid vander Lip",,1696,1ste druk,393211274,denha004koni01,1,1696,bekk001,Balthasar,,Bekker,1634,1698,20 maart,11 juni,Metslawier,Amsterdam,metsl001,,amste001,,0,https://dbnl.org/tekst/bekk001derd01_01,https://dbnl.org/nieuws/text.php?id=bekk001derd01,,poëzie,,1696.0
bell003davi01,Davids psalmen,,1733,1ste druk,394962923,amste001meer01,1,1733,bell003,Jan,van,Belle,ca. 1690,1754,,30 april (begraven),Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/bell003davi01_01,https://dbnl.org/nieuws/text.php?id=bell003davi01,2012_07   ,poëzie,,1733.0
bell009cith02,Het citherken van Jezus,,1675,2de druk,394969375,amste001univ01,3,1675,bell009,Daniel,,Bellemans,1642,1674,,12 februari,Antwerpen,Horsen,antwe001,,horss001,,0,https://dbnl.org/tekst/bell009cith02_01,https://dbnl.org/nieuws/text.php?id=bell009cith02,2013_09   ,poëzie,,1675.0
bell009denl02,Den lieffelycken paradys-vogel,,1674,2de druk,39496683X,amste001meer01,3,1674,bell009,Daniel,,Bellemans,1642,1674,,12 februari,Antwerpen,Horsen,antwe001,,horss001,,0,https://dbnl.org/tekst/bell009denl02_01,https://dbnl.org/nieuws/text.php?id=bell009denl02,2010_11   ,poëzie,,1674.0
bell009lief01,Den lieffelycken paradys-vogel tot Godt om hoogh vlieghende,,1686,6de druk,40064892X,gent_001univ01,3,1686,bell009,Daniel,,Bellemans,1642,1674,,12 februari,Antwerpen,Horsen,antwe001,,horss001,,0,https://dbnl.org/tekst/bell009lief01_01,https://dbnl.org/nieuws/text.php?id=bell009lief01,2014_03   ,poëzie,,1686.0
bidl002panp01,Panpoëticon Batavum,,1720,1ste druk,39496389X,denha004koni01,1,1720,bidl002,Lambert,,Bidloo,1638,1724,30 augustus,11 juni,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bidl002panp01_01,https://dbnl.org/nieuws/text.php?id=bidl002panp01,2001_05   ,poëzie,,1720.0
bien002hand01,Handtboecxken der Christelycke gedichten,,1627,1ste druk,,leide001univ01,1,1627,bien002,Cornelis Pietersz.,,Biens,ca. 1590-1595,1645,,,Enkhuizen,,enkhu001,,,,0,https://dbnl.org/tekst/bien002hand01_01,https://dbnl.org/nieuws/text.php?id=bien002hand01,2022_02   ,poëzie,,1627.0
bien002prof02,Profytelyck cabinet,,1642,3de druk,,denha004koni01,3,1642,bien002,Cornelis Pietersz.,,Biens,ca. 1590-1595,1645,,,Enkhuizen,,enkhu001,,,,0,https://dbnl.org/tekst/bien002prof02_01,https://dbnl.org/nieuws/text.php?id=bien002prof02,2020_04   ,poëzie,,1642.0
bie_001echo01,Echos weder-klanck,,1706,1ste druk,419145354,denha004koni01,1,1706,bie_001,Cornelis,de,Bie,1627,ca. 1715,10 februari,,Lier,Lier,lier_001,,lier_001,,0,https://dbnl.org/tekst/bie_001echo01_01,https://dbnl.org/nieuws/text.php?id=bie_001echo01,2018_07   ,poëzie,,1706.0
bie_001faem01,Faems weer-galm,,1670,1ste druk,406512140,gent_001univ01,1,1670,bie_001,Cornelis,de,Bie,1627,ca. 1715,10 februari,,Lier,Lier,lier_001,,lier_001,,0,https://dbnl.org/tekst/bie_001faem01_01,https://dbnl.org/nieuws/text.php?id=bie_001faem01,2016_07   ,poëzie,,1670.0
bie_001groe01,Den groeyenden Lierschen blom-hof,,1650,1ste druk?,393211363,denha004koni01,1,1650,bie_001,Cornelis,de,Bie,1627,ca. 1715,10 februari,,Lier,Lier,lier_001,,lier_001,,0,https://dbnl.org/tekst/bie_001groe01_01,https://dbnl.org/nieuws/text.php?id=bie_001groe01,2012_11   ,poëzie,,1650.0
bie_001sedi01,Den sedighen toet-steen,,1689,1ste druk,416646204,gent_001univ01,1,1689,bie_001,Cornelis,de,Bie,1627,ca. 1715,10 februari,,Lier,Lier,lier_001,,lier_001,,0,https://dbnl.org/tekst/bie_001sedi01_01,https://dbnl.org/nieuws/text.php?id=bie_001sedi01,2018_01   ,poëzie,,1689.0
bild002jvan07,Galante dichtluimen,,1780,1ste druk,413140083,denha004koni01,1,1780,bild002,Willem,,Bilderdijk,1756,1831,7 september,18 december,Amsterdam,Haarlem,amste001,,haarl001,,0,https://dbnl.org/tekst/bild002jvan07_01,https://dbnl.org/nieuws/text.php?id=bild002jvan07,2017_09   ,poëzie,,1780.0
bild002jvan07,Galante dichtluimen,,1780,1ste druk,413140083,denha004koni01,1,1780,riem009,Hendrik,,Riemsnijder,1743,1825,,5 april,Wologda,Parijs,,rusla01,,frank01,0,https://dbnl.org/tekst/bild002jvan07_01,https://dbnl.org/nieuws/text.php?id=bild002jvan07,2017_09   ,poëzie,,1780.0
biss003somm01,Sommighe Daghelicsche Ghebeden,,1595,1ste druk,394975227,rotte002geme01,1,1595,biss003,Pieter,de,Bisschop,?(16de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/biss003somm01_01,https://dbnl.org/nieuws/text.php?id=biss003somm01,2012_11   ,poëzie,,1595.0
blas001fida01,"Fidamants kusjes, minne-wysen en by-rymen aan Celestyne",,1663,1ste druk,393486095,gent_001univ01,1,1663,blas001,Joan,,Blasius,1639,1672,13 april,6 december,Oostvliet,Amsterdam,oostv005,,amste001,,0,https://dbnl.org/tekst/blas001fida01_01,https://dbnl.org/nieuws/text.php?id=blas001fida01,2011_06   ,poëzie,,1663.0
blok045nieu02,"Een nieuw liedt-boekje, genaamt het dubbelt Emausje, bestaende in eenige nieuwe liedekens",,1742,11de druk,393211428,denha004koni01,3,1742,blok045,Tannetge Kornelis,,Blok,1660,1690,,,,,,,,,1,https://dbnl.org/tekst/blok045nieu02_01,https://dbnl.org/nieuws/text.php?id=blok045nieu02,2012_12   ,poëzie,,1742.0
bode001goud01,Goude munt-goddin,,1628,1ste druk,,denha004koni01,1,1628,bode001,Johannes,,Bodecher Benningh,1606,1642,,voor 20 augustus,Loosdrecht,Leiden,loosd003,,leide001,,0,https://dbnl.org/tekst/bode001goud01_01,https://dbnl.org/nieuws/text.php?id=bode001goud01,2020_02   ,poëzie,,1628.0
boec035vier01,Vier-honderd-jaerig jubilé. Eerste deel,,1770,1ste druk,419321438,gent_001univ01,1,1770,boec035,J.,de,Boeck,1697,1775,,,,,,,,,0,https://dbnl.org/tekst/boec035vier01_01,https://dbnl.org/nieuws/text.php?id=boec035vier01,2018_07   ,poëzie,,1770.0
boec035vier02,Vier-honderd-jaerig jubilé. Tweede deel,,1770,1ste druk,419321446,gent_001univ01,1,1770,boec035,J.,de,Boeck,1697,1775,,,,,,,,,0,https://dbnl.org/tekst/boec035vier02_01,https://dbnl.org/nieuws/text.php?id=boec035vier02,2018_07   ,poëzie,,1770.0
boey001nieu01,Het nieuwe werck der psalmen van den koningh David,,1659,1ste druk,416652530,denha004koni01,1,1659,boey001,Cornelis,,Boey,1611,1665,11 januari,2 februari,Zierikzee,Den Haag,zieri001,,denha004,,0,https://dbnl.org/tekst/boey001nieu01_01,https://dbnl.org/nieuws/text.php?id=boey001nieu01,2017_12   ,poëzie,,1659.0
bolo001ghee01,Den Gheestelycken leeuwercker vol godtvruchtighe liedekens ende leyssenen,,1645,1ste druk,393486117,0             ,1,1645,bolo001,Guilielmus,,Bolognino,1590,1669,18 maart,24 oktober,Antwerpen,Antwerpen,antwe001,,antwe001,,0,https://dbnl.org/tekst/bolo001ghee01_01,https://dbnl.org/nieuws/text.php?id=bolo001ghee01,2013_09   ,poëzie,,1645.0
bolt005inob01,In obitvm viri amplissimi Gualtheri Petri Boudaan,,1781,1ste druk,393211452,denha004koni01,1,1781,bolt005,Henricus,,Bolt,ca. 1740,na 1785,,,,,,,,,0,https://dbnl.org/tekst/bolt005inob01_01,https://dbnl.org/nieuws/text.php?id=bolt005inob01,,poëzie,,1781.0
bon_001delf01,Delfs Cupidoos schighje,,1652,1ste druk,393474798,denha004koni01,1,1652,bon_001,Arnold,,Bon,?(17de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/bon_001delf01_01,https://dbnl.org/nieuws/text.php?id=bon_001delf01,2013_10   ,poëzie,,1652.0
bon_001twee01,Tweede Delfs Cupidoos schighje,,1656,1ste druk,393486125,denha004koni01,1,1656,bon_001,Arnold,,Bon,?(17de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/bon_001twee01_01,https://dbnl.org/nieuws/text.php?id=bon_001twee01,2014_02   ,poëzie,,1656.0
bood001baen01,De Baene des Hemels ende der Deughden,,1628,1ste druk,,,1,1628,bood001,Anselmus Boetius,de,Boodt,ca. 1550,1632,,21 juni,Brugge,Brugge,brugg001,,brugg001,,0,https://dbnl.org/tekst/bood001baen01_01,,,poëzie,,1628.0
borc002brus01,Brusselschen Blom-hof van Cupido,,1641,1ste druk,393486133,denha004koni01,1,1641,borc002,Willem,van der,Borcht,1621,1668,,,Brussel,Brussel,bruss002,,bruss002,,0,https://dbnl.org/tekst/borc002brus01_01,https://dbnl.org/nieuws/text.php?id=borc002brus01,2011_11   ,poëzie,,1641.0
born006gees01,Geestelick vreugde-beeckje. Toe-ge-eygent aen de Hollantse jeughd,,1645,1ste druk,377490539,denha004koni01,1,1645,born006,Johan,van,Born,1614,?(17de eeuw),,,,,,,,,0,https://dbnl.org/tekst/born006gees01_01,https://dbnl.org/nieuws/text.php?id=born006gees01,2013_12   ,poëzie,,1645.0
bors001denb01,Den Binckhorst,,1613,1ste druk,421571306,amste001univ01,1,1613,bors001,Philibert,van,Borsselen,ca. 1575,1627,,17 januari,Goes,Zierikzee,goes_001,,zieri001,,0,https://dbnl.org/tekst/bors001denb01_01,https://dbnl.org/nieuws/text.php?id=bors001denb01,2019_01   ,poëzie,,1613.0
bors001stra01,Strande,,1611,1ste druk,421519304,leide001univ01,1,1611,bors001,Philibert,van,Borsselen,ca. 1575,1627,,17 januari,Goes,Zierikzee,goes_001,,zieri001,,0,https://dbnl.org/tekst/bors001stra01_01,https://dbnl.org/nieuws/text.php?id=bors001stra01,2019_01   ,poëzie,,1611.0
bor_001oors02,"Den oorspronck, begin ende aenvanck der Nederlandtscher oorlogen",,1617,1ste druk,39347481X,denha004koni01,1,1617,bor_001,Pieter Christiaenszoon,,Bor,1559,1635,,19 maart,Utrecht,Haarlem,utrec001,,haarl001,,0,https://dbnl.org/tekst/bor_001oors02_01,https://dbnl.org/nieuws/text.php?id=bor_001oors02,2012_04   ,poëzie,,1617.0
bosc004echt01,"Ter echtverëeniging van den welëdelen achtbaaren heere, den heere Mr. Nicolaes Geelvinck, schepen, mitsgaders ontfanger van des gemeenen lands middelen te Amsteldam &c. en de welëdele vrouwe mevrouwe Hester Elizabeth Hooft",,1743,1ste druk,393211460,denha004koni01,1,1743,bosc004,Bernardus,de,Bosch,1709,1786,28 maart,27 oktober,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bosc004echt01_01,https://dbnl.org/nieuws/text.php?id=bosc004echt01,,poëzie,,1743.0
bosc004toej01,Toejuiching aan den welëdelen grootachtbaaren heer mr. Pieter Clifford,,1773,1ste druk,393474909,denha004koni01,1,1773,bosc004,Bernardus,de,Bosch,1709,1786,28 maart,27 oktober,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bosc004toej01_01,https://dbnl.org/nieuws/text.php?id=bosc004toej01,,poëzie,,1773.0
bosc015kons01,Konst kabinet van Marten Kretzer,,1650,1ste druk,394976347,amste001rijk01,1,1650,bosc015,Lambert,van den,Bosch,1620,1698,9 april,juli/augustus,Amsterdam,Vianen,amste001,,viane001,,0,https://dbnl.org/tekst/bosc015kons01_01,https://dbnl.org/nieuws/text.php?id=bosc015kons01,2005_02   ,poëzie,,1650.0
bosc015poet01,Der poëten lust-prieel of dicht-konst,,1649,1ste druk,413140229,gent_001univ01,1,1649,bosc015,Lambert,van den,Bosch,1620,1698,9 april,juli/augustus,Amsterdam,Vianen,amste001,,viane001,,0,https://dbnl.org/tekst/bosc015poet01_01,https://dbnl.org/nieuws/text.php?id=bosc015poet01,2017_09   ,poëzie,,1649.0
bosc130zang01,Zang op het vieren van het vrijheids-feest,,1795,1ste druk,393474933,utrec001univ01,1,1795,bosc130,Paulus,,Bosch,?(18de eeuw),,,,,,,,,,0,https://dbnl.org/tekst/bosc130zang01_01,https://dbnl.org/nieuws/text.php?id=bosc130zang01,2011_09   ,poëzie,,1795.0
boud005prie01,Het prieelken der gheestelyker wellusten,,1587,1ste druk,,,1,1587,boud005,Katherina,,Boudewyns,ca. 1520,na 1603,,,Brussel,,bruss002,,,,1,https://dbnl.org/tekst/boud005prie01_01,,2002_12   ,poëzie,,1587.0
bour004desw01,Des wereldts proef-steen ofte de ydelheydt door de waerheyd beschuldight ende overtuyght van valsheydt,,1643,1ste druk,419047158,durha002duke01,1,1643,bour004,Anton,van,Bourgoingne,1594,1657,,29 mei,Brugge,Brugge,brugg001,,brugg001,,0,https://dbnl.org/tekst/bour004desw01_01,https://dbnl.org/nieuws/text.php?id=bour004desw01,2018_05   ,poëzie,,1643.0
bour004desw01,Des wereldts proef-steen ofte de ydelheydt door de waerheyd beschuldight ende overtuyght van valsheydt,,1643,1ste druk,419047158,durha002duke01,1,1643,ghes001,Petrus,,Gheschier,?(17de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/bour004desw01_01,https://dbnl.org/nieuws/text.php?id=bour004desw01,2018_05   ,poëzie,,1643.0
boxt005lust01,Lustighe Amoreuse Refereynen,,1597,1ste druk,394971213,denha004koni01,1,1597,boxt005,Hendrik,van,Boxtel,,,,,,,,,,,0,https://dbnl.org/tekst/boxt005lust01_01,https://dbnl.org/nieuws/text.php?id=boxt005lust01,2012_06   ,poëzie,,1597.0
braa007huuw01,Op't huuwelyk van den weledelgeboren heere Johan Diderik Pompe van Meerdervoort [...] met de weledelgeborene jongkvrouwe Johanna Alida Pompe van Meerdervoort [...],,1723,1ste druk,393211487,denha004koni01,1,1723,braa007,Johannes,van,Braam,1677,1751,1 november,1 maart,Dordrecht,Dordrecht,dordr001,,dordr001,,0,https://dbnl.org/tekst/braa007huuw01_01,https://dbnl.org/nieuws/text.php?id=braa007huuw01,,poëzie,,1723.0
braa008hono01,Honori & meritis viri amplissimi Gualteri Petri Boudaan,,1761,1ste druk,393211495,denha004koni01,1,1761,braa008,Pieter,van,Braam,1740,1817,22 december,28 september,Vianen,Dordrecht,viane001,,dordr001,,0,https://dbnl.org/tekst/braa008hono01_01,https://dbnl.org/nieuws/text.php?id=braa008hono01,,poëzie,,1761.0
brau007scha01,"Schalmeye, inhoudende veel geestelijcke liedekens",,1614,1ste druk,394970012,amste001univ01,1,1614,brau007,Marijn,de,Brauwer,?,?(17de eeuw),,,,,,,,,0,https://dbnl.org/tekst/brau007scha01_01,https://dbnl.org/nieuws/text.php?id=brau007scha01,2013_09   ,poëzie,,1614.0
bray002minn01,Minne-kund ofte philosophie der liefden,,1628,1ste druk,,,1,1628,bray002,Salomon,de,Bray,1597,1664,,11 mei,Haarlem,Haarlem,haarl001,,haarl001,,0,https://dbnl.org/tekst/bray002minn01_01,,,poëzie,,1628.0
bred001gees01,Geestigh liedt-boecxken,,1621,4de druk,419148574,denha004koni01,3,1621,bred001,G.A.,,Bredero,1585,1618,16 maart,23 augustus,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bred001gees01_01,https://dbnl.org/nieuws/text.php?id=bred001gees01,2018_04   ,poëzie,,1621.0
bred001groo02,Groot lied-boeck. Deel 1,,1622,1ste druk,,,1,1622,bred001,G.A.,,Bredero,1585,1618,16 maart,23 augustus,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bred001groo02_01,,,poëzie,,1622.0
bred001groo03,Groot lied-boeck. Deel 2,,1622,1ste druk,,,1,1622,bred001,G.A.,,Bredero,1585,1618,16 maart,23 augustus,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bred001groo03_01,,,poëzie,,1622.0
bred001groo04,Groot lied-boeck. Deel 3,,1622,1ste druk,,,1,1622,bred001,G.A.,,Bredero,1585,1618,16 maart,23 augustus,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bred001groo04_01,,,poëzie,,1622.0
bred001nede01,Nederduytsche poëmata,,1632,1ste druk,,,1,1632,bred001,G.A.,,Bredero,1585,1618,16 maart,23 augustus,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bred001nede01_01,,,poëzie,,1632.0
bred001nede02,Nederduytsche Rijmen,,1620,1ste druk,,,1,1620,bred001,G.A.,,Bredero,1585,1618,16 maart,23 augustus,Amsterdam,Amsterdam,amste001,,amste001,,0,https://dbnl.org/tekst/bred001nede02_01,,,poëzie,,1620.0
